sample_id,depth,prime_An,prime_Bn,doubly_prime,mean_ratio,min_ratio,overflow_depth
3710,68,4,7,1,180.316040,27.889433,68
3711,75,10,10,4,136.236877,8.461111,75
3712,72,7,5,1,145.355560,20.115816,72
3713,83,7,8,0,157.795090,27.046902,83
3714,72,4,4,0,174.035248,43.905952,72
3715,80,6,7,0,154.906937,51.876717,80
3716,81,7,7,0,168.564880,16.403742,81
3717,73,7,8,0,166.343430,43.964386,73
3718,71,4,4,0,165.083740,17.681482,71
3719,77,5,3,0,189.754166,19.037500,77
3720,73,8,6,1,159.907806,17.681482,73
3721,87,5,5,2,149.355820,17.681482,87
3722,84,5,8,0,153.387238,25.902905,84
3723,73,4,3,0,197.503571,73.092598,73
3724,71,6,8,0,158.517700,29.469137,71
3725,91,7,10,0,150.402908,29.469137,91
3726,72,4,3,0,192.469879,35.630013,72
3727,87,5,4,0,149.273758,12.691667,87
3728,77,6,7,2,139.322556,20.115816,77
3729,68,4,4,1,158.983078,11.155773,68
3730,72,10,3,1,181.243561,35.651150,72
3731,70,7,7,1,139.718094,12.011325,70
3732,64,4,4,2,202.857162,12.011325,64
3733,83,8,5,1,149.541031,12.691667,83
3734,81,7,8,1,144.088638,10.349608,81
3735,76,10,11,3,138.518784,12.691667,76
3736,84,5,7,1,141.221115,10.349608,84
3737,60,2,5,0,185.880188,29.469137,60
3738,74,8,5,2,156.904648,20.115816,74
3739,84,5,11,0,151.662521,12.691667,84
3740,77,6,7,2,170.354279,12.011325,77
3741,79,4,4,1,196.666672,50.463833,79
3742,85,3,3,0,149.398178,33.720055,85
3743,81,8,9,2,156.724411,12.691667,81
3744,80,3,5,1,181.401321,33.720055,80
3745,71,5,3,0,166.207184,16.403742,71
3746,78,7,5,2,165.414856,27.889433,78
3747,78,6,5,0,156.670197,29.469137,78
3748,85,6,8,1,148.580368,33.335388,85
3749,78,7,8,1,170.550446,44.629848,78
3750,79,6,4,0,158.469055,35.630013,79
3751,77,3,1,0,178.820557,38.592636,77
3752,72,4,5,0,167.015610,11.155773,72
3753,71,2,5,0,164.906174,12.691667,71
3754,60,3,5,1,220.077026,67.996262,60
3755,57,2,4,1,231.923187,54.791901,57
3756,73,7,6,2,153.696762,17.681482,73
3757,76,7,5,2,165.162735,20.115816,76
3758,66,4,4,0,176.906662,12.691667,66
3759,69,3,4,1,190.471054,33.720055,69
3760,76,8,8,2,167.171448,12.691667,76
3761,76,5,8,0,153.400436,12.691667,76
3762,70,3,8,0,173.346893,12.691667,70
3763,79,11,4,2,166.105804,12.691667,79
3764,68,5,5,0,160.666763,19.037500,68
3765,79,5,5,1,165.906906,12.691667,79
3766,80,5,2,0,167.558807,20.115816,80
3767,74,4,8,1,179.619385,40.750481,74
3768,68,9,7,0,165.141663,19.037500,68
3769,65,5,3,0,189.700897,43.581356,65
3770,64,5,10,1,180.023636,43.581356,64
3771,74,5,5,0,179.823059,12.011325,74
3772,80,4,5,0,166.521271,20.115816,80
3773,81,5,7,0,142.564438,10.349608,81
3774,69,7,3,0,172.177887,41.281269,69
3775,71,5,7,1,183.696991,40.438457,71
3776,89,8,7,1,134.350586,31.318216,89
